Rank,Company,Tier,Segment,Sub-Segment,Region,HQ,Weather Hook (why they buy),Key Assets / Notes
214,196,Japan Petroleum Exploration (JAPEX),3 - International,International E&P/Refining,Operator,Japan,Tokyo,Hokkaido winter ops
215,112,Keyera,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,Canada,Calgary,Alberta deep freeze ops
216,113,Kinder Morgan,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Houston TX,Texas intrastate freeze exposure (Uri)
217,14,Kinder Morgan LNG,1 - Existential,LNG,Producer/Operator,US Gulf/Atlantic,Houston TX,Elba Island hurricane exposure
218,172,KLX Energy Services,2 - Expensive,Field Services,Services/Equipment,US,Wellington FL,US basins services
219,197,KazMunayGas,3 - International,International E&P/Refining,Operator,Caspian,Astana,Kashagan ICE risk (unique!) + Caspian storms
220,198,Kuwait Petroleum,3 - International,International E&P/Refining,Operator,Middle East,Kuwait City,Dust storms + heat
221,240,Knot Offshore Partners,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,North Sea,Aberdeen,Shuttle tankers NS storms
222,241,Koch Supply & Trading,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US Global,Wichita KS,Pine Bend ops + global trading
223,77,Kosmos Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,GoM/Africa,Dallas TX,Ghana/GoM operations
224,114,LOOP LLC,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Covington LA,Offshore port wave/surge exposure
225,173,Liberty Energy,2 - Expensive,Field Services,Services/Equipment,US,Denver CO,Frack fleets heat/lightning
226,39,LyondellBasell,1 - Existential,Refining,Refiner,US Gulf,Houston TX,Houston corridor lightning/heat
227,115,MPLX,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Findlay OH,Permian/Gulf gathering storms
228,151,Magnolia Oil & Gas,2 - Expensive,Shale/Onshore E&P,Operator,US Eagle Ford,Houston TX,EF lightning/tornado
229,152,Matador Resources,2 - Expensive,Shale/Onshore E&P,Operator,US Permian,Dallas TX,Delaware Basin ops
230,153,Mewbourne Oil,2 - Expensive,Shale/Onshore E&P,Operator,US (private),Amarillo TX,Permian/Anadarko freeze
231,199,MedcoEnergi,3 - International,International E&P/Refining,Operator,SE Asia,Jakarta,Indonesian monsoon ops
232,200,Mubadala Energy,3 - International,International E&P/Refining,Operator,Middle East/Asia,Abu Dhabi,SE Asia + NL gas weather
233,242,Maran Gas (Angelicoussis),4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Athens,World's largest private LNG fleet
234,243,McAllister Towing,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US East,New York NY,NY Harbor tugs + hurricanes
235,244,Mercuria,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Geneva,Same
236,245,Moran Towing,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US East/Gulf,New Canaan CT,Harbor + offshore towing
237,40,MOL Group,1 - Existential,Refining,Refiner,Europe/CE,Budapest,Danube flooding risk
238,41,Marathon Petroleum,1 - Existential,Refining,Refiner,US Gulf/Midwest,Findlay OH,13 refineries = 13 plant accounts
239,42,Motiva,1 - Existential,Refining,Refiner,US Gulf,Houston TX,Port Arthur lightning + surge
240,43,Motor Oil Hellas,1 - Existential,Refining,Refiner,Greece,Athens,Med storms; Corinth refinery
241,78,McDermott,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Houston TX,GoM marine construction history
242,79,Murphy Oil,1 - Existential,Offshore E&P,Operator/Driller/Marine,GoM,El Dorado AR,GoM + Tupper Montney freeze
243,15,New Fortress Energy,1 - Existential,LNG,Producer/Operator,US/Caribbean,New York NY,Fast LNG FLNG hurricane exposure; PR operations
244,16,NextDecade,1 - Existential,LNG,Producer/Operator,US Gulf,Houston TX,Hurricane exposure at Brownsville ship channel
245,174,Nabors Industries,2 - Expensive,Field Services,Services/Equipment,Global,Houston TX,Rig downtime weather
246,175,Nine Energy Service,2 - Expensive,Field Services,Services/Equipment,US,Houston TX,Completion weather
247,201,NNPC,3 - International,International E&P/Refining,Operator,West Africa,Abuja,Niger Delta squalls + offshore
248,202,Nayara Energy,3 - International,International E&P/Refining,Operator,India,Mumbai,Vadinar monsoon exposure
249,203,Neste,3 - International,International E&P/Refining,Operator,Finland,Espoo,Porvoo Arctic-Baltic ops + renewables
250,246,Norden,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Copenhagen,Dry/cargo routing
251,80,Noble Corporation,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Houston TX,Contract weather downtime
252,116,ONEOK,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Tulsa OK,NGL freeze corridor (Rockies)
253,154,Occidental,2 - Expensive,Shale/Onshore E&P,Operator,US Permian,Houston TX,Permian heat (water/crews); Denver freeze
254,155,Ovintiv,2 - Expensive,Shale/Onshore E&P,Operator,US/Canada,Denver,Permian + Montney freeze
255,176,Oil States International,2 - Expensive,Field Services,Services/Equipment,US Gulf,Houston TX,GoM offshore equipment
256,204,OMV Petrom,3 - International,International E&P/Refining,Operator,Romania,Bucharest,Black Sea Neptun Deep + Petrobrazi
257,205,ONGC,3 - International,International E&P/Refining,Operator,India,New Delhi,Monsoon offshore ops (Bombay High cyclones)
258,206,ONGC Videsh / overseas arm,3 - International,International E&P/Refining,Operator,Global,New Delhi,Overseas assets weather
259,207,OQ,3 - International,International E&P/Refining,Operator,Middle East,Muscat,Duqm terminal cyclone belt (recent Gonu history)
260,208,Oil India,3 - International,International E&P/Refining,Operator,India,Noida,NE India monsoon flooding
261,44,OMV,1 - Existential,Refining,Refiner,Europe,Vienna,Burghausen/Schwechat floods
262,45,Orlen,1 - Existential,Refining,Refiner,Poland/Baltic,Plock,Baltic storms; Mazeikiai
263,81,Oceaneering,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Houston TX,ROV/inspection windows
264,117,Pembina Pipeline,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,Canada,Calgary,NGL + coast export weather
265,118,Plains All American,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Houston TX,Permian crude gathering + Cushing
266,119,Plantation Pipe Line,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Southeast,Atlanta GA,Same corridor
267,120,Plaquemines Port Harbor,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Belle Chasse LA,Fresh surge exposure; LNG growth
268,121,Port of Corpus Christi,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Corpus Christi TX,Crude export dock weather; LNG buildout
269,122,Port of Houston,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Houston TX,Ship Channel fog/surge/lightning
270,123,Port of Lake Charles,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Lake Charles LA,Direct hurricane path history
271,156,Pampa Energía,2 - Expensive,Shale/Onshore E&P,Operator,Argentina,Buenos Aires,Vaca Muerta stake + power
272,157,Pan American Energy,2 - Expensive,Shale/Onshore E&P,Operator,Argentina,Buenos Aires,Vaca Muerta partner
273,158,Permian Resources,2 - Expensive,Shale/Onshore E&P,Operator,US Permian,Midland TX,Permian pure-play
274,17,PETRONAS (MLNG),1 - Existential,LNG,Producer/Operator,APAC,Kuala Lumpur,Bintulu monsoon exposure
275,177,Patterson-UTI,2 - Expensive,Field Services,Services/Equipment,US,Houston TX,Rigs + frac weather
276,178,ProPetro,2 - Expensive,Field Services,Services/Equipment,US Permian,Midland TX,Permian-only frac exposure
277,209,PTT,3 - International,International E&P/Refining,Operator,SE Asia,Bangkok,Terminal monsoon
278,210,PTTEP,3 - International,International E&P/Refining,Operator,SE Asia,Bangkok,Gulf of Thailand monsoon
279,211,Pertamina,3 - International,International E&P/Refining,Operator,SE Asia,Jakarta,Monsoon + archipelago marine ops
280,212,PetroChina,3 - International,International E&P/Refining,Operator,China,Beijing,Same check
281,213,Petrosen,3 - International,International E&P/Refining,Operator,West Africa,Dakar,Sangomar offshore
282,214,Preem,3 - International,International E&P/Refining,Operator,Sweden,Stockholm,Baltic winter; Lysekil
283,46,PBF Energy,1 - Existential,Refining,Refiner,US Gulf/East,Parsippany NJ,Delaware City nor'easters + hurricanes
284,47,Par Pacific,1 - Existential,Refining,Refiner,US West/HI,Houston TX,Hawaii hurricanes; Billings blizzards
285,48,Pemex (International),1 - Existential,Refining,Refiner,Mexico,Mexico City,Gulf cyclones both coasts
286,49,Petrobras (Refining),1 - Existential,Refining,Refiner,Brazil,Rio de Janeiro,Sao Paulo state flooding history
287,50,Phillips 66,1 - Existential,Refining,Refiner,US Gulf/West,Houston TX,Sweeny freeze; Bayway hurricanes
288,82,Petrobras America,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Houston TX,Pre-salt FPSO experience in GoM
289,18,QatarEnergy,1 - Existential,LNG,Producer/Operator,Middle East,Doha,Shamal wind/heat ops at Ras Laffan; US JV partner
290,83,QuarterNorth Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Houston TX,GoM producer
291,159,Range Resources,2 - Expensive,Shale/Onshore E&P,Operator,US Appalachia,Fort Worth TX,Winter freeze; pipeline nominations
292,179,RPC Inc,2 - Expensive,Field Services,Services/Equipment,US,Atlanta GA,Pressure pumping weather
293,215,Repsol,3 - International,International E&P/Refining,Operator,Spain/LatAm,Madrid,La Refinería + Peru ops
294,51,Reliance Jamnagar,1 - Existential,Refining,Refiner,India,Mumbai,Monsoon shutdown planning
295,124,South Bow,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,Canada/US,Calgary,Keystone ops post-split
296,125,Sunoco LP,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Dallas TX,Refined products terminals
297,160,SM Energy,2 - Expensive,Shale/Onshore E&P,Operator,US,Denver CO,Permian/EF/Bakken
298,180,SLB,2 - Expensive,Field Services,Services/Equipment,Global,Houston TX,Global ops weather
299,19,Santos,1 - Existential,LNG,Producer/Operator,APAC,Adelaide,Cyclone exposure Darwin + Gladstone
300,20,Sempra Infrastructure,1 - Existential,LNG,Producer/Operator,US Gulf/Atlantic/Mexico,Houston TX,Gulf + Pacific terminal exposure (ECA Baja)
301,21,Shell (LNG),1 - Existential,LNG,Producer/Operator,Global,London/The Hague,Global LNG weather logistics; GoM terminals
302,216,SOCAR,3 - International,International E&P/Refining,Operator,Caspian,Baku,Caspian storms; Shah Deniz partner
303,217,SOCAR Turkey / Petkim,3 - International,International E&P/Refining,Operator,Turkey,Izmir,Aegean storms
304,218,Saudi Aramco,3 - International,International E&P/Refining,Operator,Middle East,Dhahran,Shamal dust storms; Ras Tanura marine ops
305,219,Sinopec (US-sanctions check),3 - International,International E&P/Refining,Operator,China,Beijing,Global refining; consider export controls
306,220,Sonangol,3 - International,International E&P/Refining,Operator,West Africa,Luanda,Atlantic swell windows
307,221,Sonatrach,3 - International,International E&P/Refining,Operator,North Africa,Algiers,Sahara heat + flash floods history
308,247,Scorpio Tankers,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Monaco,Product tanker routing
309,248,Signet Maritime,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,US Gulf,Texas City TX,Tug weather windows
310,249,Stena Bulk,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Gothenburg,Tanker + weather routing tech user
311,52,S-Oil,1 - Existential,Refining,Refiner,Korea,Seoul,Ulsan typhoons; Saudi JV
312,53,SK Energy,1 - Existential,Refining,Refiner,Korea,Seoul,Typhoon exposure Ulsan
313,84,Saipem,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Milan,EPC marine ops
314,85,Seacor Marine,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Houma LA,OSV + liftboats
315,86,Seadrill,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Stavanger,Rig ops weather
316,87,Shell Prelude FLNG,1 - Existential,Offshore E&P,Operator/Driller/Marine,APAC,Perth,Cyclone season direct exposure
317,88,Subsea 7,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,London,Vessel campaign scheduling
318,89,Suncor (Offshore),1 - Existential,Offshore E&P,Operator/Driller/Marine,Atlantic Canada,Calgary,Terra Nova / Hibernia iceberg management
319,126,TC Energy,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US/Canada,Calgary,Keystone freeze/leak weather link
320,127,Targa Resources,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US Gulf,Houston TX,Permian NGL + Gulf fractionation
321,161,Tecpetrol,2 - Expensive,Shale/Onshore E&P,Operator,Argentina,Buenos Aires,Vaca Muerta gas
322,162,Tourmaline,2 - Expensive,Shale/Onshore E&P,Operator,Canada,Calgary,Deep basin winter
323,22,TotalEnergies (LNG),1 - Existential,LNG,Producer/Operator,Global,Paris,Gulf + Qatar + Mozambique storm exposure
324,222,TPAO,3 - International,International E&P/Refining,Operator,Turkey,Ankara,Black Sea discovery storms
325,250,Teekay,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Vancouver,Shuttle tanker North Sea weather
326,251,Torm,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Copenhagen,Product tankers
327,252,Trafigura,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Geneva/Singapore,Same; Gulf chartering
328,253,Tsakos Energy Navigation,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Athens,Tanker routing
329,90,Talos Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Houston TX,Pure-play GoM; every storm is P&L
330,91,TechnipFMC,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Newcastle UK,Subsea install campaign windows
331,92,Tidewater,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,New Orleans LA,OSV utilization vs weather
332,93,Transocean,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Steinhausen,Rig move weather windows; day rates at risk
333,163,Vista Energy,2 - Expensive,Shale/Onshore E&P,Operator,Argentina/US,Monterrey,Vaca Muerta wind/hail
334,223,Vietnam Petroleum (PetroVietnam),3 - International,International E&P/Refining,Operator,SE Asia,Hanoi,Typhoon belt offshore
335,23,Venture Global,1 - Existential,LNG,Producer/Operator,US Gulf,Arlington VA,Surge warnings at 4 terminals during Edouard; they ARE the demo case
336,254,Vitol,4 - Trading/Marine,Traders/Tankers/Tugs,Trading/Marine,Global,Geneva/Rotterdam,Cargo routing weather; freight exposure
337,54,Valero,1 - Existential,Refining,Refiner,US Gulf,San Antonio TX,12 plants; Corpus lightning + freeze
338,94,Vaalco Energy,1 - Existential,Offshore E&P,Operator/Driller/Marine,GoM/Gabon,Houston TX,GoM + Gabon ops
339,95,Valaris,1 - Existential,Offshore E&P,Operator/Driller/Marine,Global,Houston TX,Hurricane downtime on contracted rigs
340,96,Var Energi,1 - Existential,Offshore E&P,Operator/Driller/Marine,North Sea/Barents,Stavanger,Barents + Goliat Arctic ops
341,128,Western Midstream,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Denver,Permian/DJ weather
342,129,Williams Companies,2 - Expensive,Midstream/Ports,Pipeline/Terminal/Port,US,Tulsa OK,Southeast gas + freeze exposure
343,181,Weatherford,2 - Expensive,Field Services,Services/Equipment,Global,Houston TX,Ops downtime weather
344,24,Woodside Energy,1 - Existential,LNG,Producer/Operator,APAC/US Gulf,Perth/Houston,Cyclone season NW Shelf + GoM assets
345,97,W&T Offshore,1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Houston TX,Shelf platforms = first evacuated
346,98,Woodside (Offshore GoM),1 - Existential,Offshore E&P,Operator/Driller/Marine,US Gulf,Houston TX,Acquired BP GoM assets 2024
347,55,YPF (Refining),1 - Existential,Refining,Refiner,Argentina,Buenos Aires,Pampas storms; Vaca Muerta link
348,25,bp (LNG),1 - Existential,LNG,Producer/Operator,Global,London,Gulf LNG + trading weather exposure
